,bedroom,bathrooms,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage,no_room,pooja_room,study_room,others,servant_room,store_room,maintenance_amt,brok_amt,deposit_amt,mnt_amt,rent
1217,2,2,900.0,Unfurnished,All,"yash residency, Lullanagar, , Pune, Maharashtra",2,East,Vitrified,Yes,No,1,Yes,Yes,11,1,0,2,5 to 10 Year Old,0,0,0,0,0,1,Maintenance 1200/ (/ month,30000,3,1200.0,22648.0
1218,2,2,0.0,Semifurnished,Family Only,"TCG The Crown Greens, Hinjewadi Phase 2, , Pune, Maharashtra",4,No Direction,Not provided,No,No,1,None,None,12,1,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,60000,0.0,21618.0
1219,1,2,0.0,Unfurnished,"Family , Bachelors (Men Only)","Moze Unique Residency, Wagholi, , Pune, Maharashtra",1,East,Vitrified,No,No,1,None,None,11,1,0,1,1 to 5 Year Old,1,0,0,0,0,0,0,0,25000,0.0,5556.0
1220,2,2,820.0,Semifurnished,Family Only,"Kiarah Terrazo, Hadapsar, , Pune, Maharashtra",1,East,Ceramic,Yes,No,1,None,None,0,0,0,2,1 to 5 Year Old,1,0,0,0,0,0,0,21000,60000,0.0,21920.0
1221,1,1,555.0,Unfurnished,Family Only,"Supreme Aangan Society, Wagholi, , Pune, Maharashtra",1,East,Ceramic,Yes,No,0,None,None,11,0,0,0,10+ Year Old,1,0,0,0,0,0,0,0,20000,0.0,4563.0
1222,2,2,915.0,Furnished,Family Only,"Profile Avenue, Aundh Road, , Pune, Maharashtra",3,No Direction,Ceramic,Yes,No,1,None,None,11,1,0,1,10+ Year Old,1,0,0,0,0,0,0,0,75000,0.0,30627.0
1223,1,1,0.0,Unfurnished,Family Only,"Ram Green Hive, Phursungi, , Pune, Maharashtra",3,North-East,Vitrified,Yes,No,1,None,None,0,0,1,2,5 to 10 Year Old,1,0,0,0,0,0,0,0,25000,0.0,5359.0
1224,2,2,0.0,Semifurnished,Family Only,"Nyati Empire, Kharadi, , Pune, Maharashtra",4,No Direction,Not provided,No,No,1,None,None,0,0,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,22000,3,0.0,19818.0
1225,2,2,0.0,Furnished,All,"Shree Manibhadra Swapna Sankul, Pawana Nagar, , Pune, Maharashtra",3,No Direction,Not provided,No,No,1,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,23000,60000,0.0,21617.0
1226,2,2,915.0,Semifurnished,All,"Mittal Sun Sapphire, Hadapsar, , Pune, Maharashtra",9,East,Not provided,Yes,No,1,None,None,11,1,1,0,0 to 1 Year Old,1,0,0,0,0,0,0,0,2,0.0,22319.0
1227,3,3,1700.0,Furnished,All,"Kolte Patil 24K Glitterati, Pimple Nilakh, , Pune, Maharashtra",1,North-East,Vitrified,Yes,No,2,None,None,0,0,1,2,1 to 5 Year Old,0,0,0,1,0,0,Maintenance 4/ (/ unit,50000,200000,4.0,78837.0
1228,2,2,0.0,Semifurnished,Family Only,"Mittal Atria, Tingre Nagar, , Pune, Maharashtra",5,No Direction,Not provided,Yes,No,0,None,None,11,1,1,2,5 to 10 Year Old,1,0,0,0,0,0,0,0,35000,0.0,14412.0
1229,1,1,0.0,Unfurnished,All,"Lohegaon, , Pune, Maharashtra",0,No Direction,Not provided,No,No,0,None,None,0,0,1,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,15000,0.0,4430.0
1230,2,2,557.0,Unfurnished,All,"Aishwaryam Hamara, Chikhali, , Pune, Maharashtra",1,North,Vitrified,Yes,No,1,None,None,11,1,0,1,0 to 1 Year Old,1,0,0,0,0,0,0,0,25000,0.0,9907.0
1231,2,2,706.0,Semifurnished,Family Only,"Hubtown Countrywoods, Tilekar Nagar, , Pune, Maharashtra",2,North-West,Marble,No,Yes,1,None,None,11,1,0,1,1 to 5 Year Old,0,0,1,0,0,0,0,0,30000,0.0,12309.0
1232,1,2,605.0,Unfurnished,Family Only,"Moze Unique Residency, Wagholi, , Pune, Maharashtra",2,No Direction,Not provided,No,No,1,None,None,0,0,1,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,0,0.0,6561.0
1233,2,2,588.0,Semifurnished,All,"Nyati Elan, Wagholi, , Pune, Maharashtra",5,East,Vitrified,Yes,Yes,1,Yes,Yes,11,0,0,1,Under Construction,1,0,0,0,0,0,0,0,3,0.0,14669.0
1234,1,1,800.0,Unfurnished,"Family , Bachelors (Women Only)","Life Republic Kolte Patil, Hinjewadi Phase 2, , Pune, Maharashtra",1,No Direction,Not provided,No,No,1,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,Maintenance 1/ (/ year,0,0,0.083333333,11050.0
1235,2,2,0.0,Unfurnished,All,"Aapla Ghar Sanaswadi, Sanaswadi, , Pune, Maharashtra",3,No Direction,Not provided,Yes,No,1,None,None,0,0,0,2,1 to 5 Year Old,1,0,0,0,0,0,0,0,40000,0.0,4860.0
1236,2,2,836.0,Semifurnished,All,"Pethkar Siyona, Punawale, , Pune, Maharashtra",9,East,Vitrified,Yes,No,1,Yes,Yes,11,1,0,1,0 to 1 Year Old,0,1,0,0,1,0,0,17000,45000,0.0,24105.0
1237,2,2,1000.0,Unfurnished,Bachelors (Men/Women),"Saudamini Society, Kothrud, , Pune, Maharashtra",1,East,Mosaic,Yes,Yes,1,None,Yes,36,0,0,0,10+ Year Old,1,0,0,0,0,0,0,27000,75000,0.0,18556.0
1238,1,1,750.0,Unfurnished,Family Only,"Sai Balaji Greens, Manjari Budruk, , Pune, Maharashtra",0,West,Not provided,No,No,1,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,15000,0.0,4430.0
1239,1,1,530.0,Furnished,All,"kirve house, gokhalenagar, , Pune, Maharashtra",3,No Direction,Not provided,No,No,1,None,None,0,0,1,0,0 to 1 Year Old,1,0,0,0,0,0,0,0,0,0.0,17557.0
1240,1,1,340.0,Semifurnished,"Family , Bachelors (Men Only)","sushila residency, Kharadi, , Pune, Maharashtra",3,South-West,Not provided,No,No,0,None,None,0,0,0,0,10+ Year Old,0,0,0,1,0,0,0,0,10000,0.0,3491.0
1241,1,1,540.0,Unfurnished,All,"Palm Atlantis, Wagholi, , Pune, Maharashtra",7,No Direction,Not provided,No,No,1,None,None,11,1,0,0,1 to 5 Year Old,0,0,0,1,0,0,0,9000,25000,0.0,4906.0
1242,2,2,1000.0,Unfurnished,Family Only,"Fortune Uttam Townscapes Elite, Maji Sainik Nagar, , Pune, Maharashtra",5,East,Vitrified,Yes,No,1,Yes,Yes,36,1,0,2,5 to 10 Year Old,0,0,0,1,0,0,Maintenance 1000/ (/ month,24000,60000,1000.0,21921.0
1243,2,2,415.0,Furnished,Family Only,"Xrbia Township, Marunji, , Pune, Maharashtra",5,No Direction,Vitrified,Yes,No,1,None,None,12,1,0,0,1 to 5 Year Old,1,0,0,0,0,0,Maintenance 2000/ (/ month,0,50000,2000.0,14530.0
1244,1,1,610.0,Unfurnished,"Family , Bachelors (Men Only)","KRIPA HERITAGE loni kalbhor, Ghorpade Wasti, , Pune, Maharashtra",3,No Direction,Marble,Yes,Yes,1,None,Yes,12,2,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,15000,0.0,3511.0
1245,1,1,600.0,Furnished,Family Only,"Shivraj Park, Dhankawadi, , Pune, Maharashtra",1,South,Vitrified,Yes,No,0,None,None,0,0,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,30000,0.0,8821.0
1246,2,2,850.0,Furnished,Family Only,"Bramha Sun City Phase 2, Kalyani Nagar, , Pune, Maharashtra",9,East,Ceramic,Yes,No,1,None,Yes,11,1,0,1,1 to 5 Year Old,0,0,0,0,0,1,Maintenance 3500/ (/ month,34000,120000,3500.0,45660.0
